gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
GENE_0,234.63404498842954,0.35540200186650767,0.4886130763604203,1.2374381346841392,0.0009652582830555985,0.0194032654682219
GENE_1,1505.0607154587606,-2.6706887174202025,0.2325388028412203,-0.45730165508679,0.16331534070591583,0.001045987624055584
GENE_2,658.3728467727246,0.7603957020119264,0.29281642324483304,-0.04282338131157488,0.01757003958219204,0.04063550153159969
GENE_3,456.4712768879766,1.2211714905676463,0.1784390850953572,0.058022734808395225,0.07656686293450525,0.0015954314812754984
GENE_4,84.81243523117314,1.1195808958620797,0.3443120284303073,0.8484308822052846,0.18495053083169047,0.10143021882366392
GENE_5,84.7981459573026,2.1615614511092436,0.21227328620638974,-2.246889333984605,0.029719886204120607,0.059302850624867544
GENE_6,29.919384304340337,1.6678443090978081,0.18279703137537073,-0.6067002947652967,0.03456436400970192,0.04826068035887268
GENE_7,1005.6154322399698,0.9183601584568734,0.30662905137839164,0.21128369227947272,0.07481290171918782,4.363463636241689e-05
GENE_8,459.5410768136323,-0.14033142291729406,0.10220231966416833,1.2000789564268612,0.021654797547236513,0.008113550159600061
GENE_9,615.6250308522951,-3.321921867031983,0.10306561305969014,-0.49190244750620515,0.04115017337580989,0.016156295691939583
GENE_10,10.399653999569312,0.8592364382651717,0.18762752364074312,-1.876552706041874,0.24585222682000277,0.0009717956632357095
GENE_11,1751.778737579156,0.4153753743262223,0.11468854500032846,0.6197114459661363,0.12921926445742624,0.0030570248981264367
GENE_12,893.2147716773376,0.5431576743907469,0.14321030165227655,-0.6353623888256293,0.11152133633430586,0.04372010977262428
GENE_13,119.3438126244735,-2.553497151640619,0.23554425973550064,-1.1896666590903613,0.09178393501296234,0.12201300644167777
GENE_14,100.33949437483169,-2.1621130808165248,0.4210342718319252,-0.6243453897132241,0.08080012620877645,0.019772675772813452
GENE_15,101.30571141612853,2.106305706665807,0.32881945734772033,-0.18452535765584954,0.087735271561514,0.049170252765651005
GENE_16,181.37686473023857,-0.07911030771331008,0.3050670903825666,-0.6047446645382127,0.14306445981127278,0.021101596783180635
GENE_17,371.9639154304272,1.3630013947452488,0.21739552928324868,-2.205566057099069,0.0362087202348284,0.005511444130326799
